"title","authors","abstract"
"“Critical Space”: An emerging community to engage in critical thinking and de/anti-colonial praxis","Dimpho Radebe; Jasmine McDermott; Paula Alves; Qurat Dar; Renato Rodrigues; Robyn Paul","We are six engineers and engineering researchers from four institutions across Turtle Island , in Canada. We all share similar values and perspectives regarding the colonial, patriarchal, and capitalist (exploitative) nature of traditional engineering education and practices. Upon coming together, we noted shared feelings of isolation in our respective institutions. We felt stifled by the dominant ‘culture of disengagement’ that perpetuates depoliticization, the myth of meritocracy, and the socio/technical dualism in engineering. Consequently, we decided to create a book club (learning community) to engage with critical and decolonial literature in a collaborative manner. More specifically, we intended to form critical perspectives of engineering through non-dominant paradigms. In this paper, we reflect on our engagement in a critical literature book club as a space for learning and community support in engineering education."
"ONE SETTLER STUDENT’S STORY ON INCORPORATING INDIGENOUS KNOWLEDGES IN ENGINEERING CURRICULA","Victoria  Thomsen; Jill  Seniuk Cicek; Afua  Mante; Shawn  Bailey; Farhoud  Delijani","The University of Manitoba Price Faculty of Engineering is actively working on initiatives to increaseIndigenous representation and ideology in engineering education. The initiatives aim to create ethical and equitable space for Indigenous Peoples, so their knowledges and perspectives are visible and valued in the Price Faculty of Engineering community. An Elder-in- Resident presented to an engineering ethics class the realities Indigenous communities face and how to work with Indigenous Peoples at the intersection of engineering projects such as oil and gas, hydroelectricity, andcommunity infrastructure. This study uses the threedimensional space narrative methodology and boundarycrossing theory to realize the impact on students’ learning.&nbsp; The student’s perspective negotiated and represented in this study acts as an artifact of boundary crossing and provides insight into the exchange of cross-cultural knowledge. Findings reveal a distinction between relationship and knowledge, where knowledge exchange is dependent on the relationship between people. Key factors contributing to a relationship include identifying each other’s historical backgrounds; situational contexts, and values, which require active listening; genuine curiosity; empathy; and time. The research presented in this paper is part of a more extensive case study exploring the impact onstudents’ learning when integrating Indigenous knowledges and perspectives into engineering education and is approved by the University of Manitoba’s Research Ethics Board."
"Rethinking the Engineering Design Process: Advantages of Incorporating Indigenous Knowledges, Perspectives, and Methodologies","Reed  Forrest; Jillian  Seniuk Cicek","A recent increase in interest in the inclusion of Indigenous Ways of Knowing in engineering education has led to the discussion on how to bridge the worldviews of Indigenous Peoples and modern engineers. A literature review was performed to identify issues in current engineering practice, explore the value of perspective in the process of problem solving, distinguish the differences between engineering and Indigenous worldviews, analyze how these worldviews are compatible and incompatible, and formulate a general approach and value system for engineers going forward. Findings show that there is a need to revise how engineers approach problems, and that the consideration of alternative perspectives can provide new avenues for solving problems. There were indications of potential for symbiosis between Indigenous cultures and engineering, as the inclusion of Indigenous knowledges in engineering and engineering education would not only preserve Indigenous cultures, but alsoimprove the quality of engineering design solutions."
"WHO YOU ARE AND HOW YOU WORK: EMBEDDING POSITIONALITY IN ENGINEERING DESIGN ","Noosheen Walji; Patricia K. Sheridan; Penny  Kinnear; Robert  Irish; Jason Foster","As the Engineering profession increasingly explores the complex relationships between technology and society, the responsibility of engineers is evolving to include considering the socio-technical complexities in which their technology will be embedded [1]. This evolution has led to interest in teaching empathy and reflexivity in undergraduate engineering education, in part to prepare student engineers for effective community engagement in their engineering practice [2] [3].&nbsp; This practice paper discusses considerations, approaches, and theories that informed our design practice as we incorporated positionality into our course. Positionality was introduced as a foundational design tool to approximately 300 students in a first-year design course at a large, public, research-intensive university. In this work we discuss the integration of positionality as a framework to facilitate self-awareness, intentionality, leadership, reflexivity, and empathy in individual and team engineering design activities."
"Towards Defining Threshold Concepts for Decolonizing Engineering","Janel Wyllie-Runner; Jillian Seniuk Cicek; Kari Zacharias","The Calls to Action published by the Truth and Reconciliation Commission of Canada express a need for post-secondary institutions to integrate Indigenous knowledge and teaching methods into the classroom. In response, engineering programs across Canada have started to explore what decolonization and Indigenization might look like in the context of engineering education. Moodie [20] has theorized five threshold concepts that may be useful for understanding learning in the context of Indigenous Studies for non-Indigenous students and faculty. This paper presents an analysis of threshold concepts for student learning around decolonizing engineering, using secondary accounts of two engineering students’ experiences with Indigenous Knowledges and worldviews in an engineering classroom. We explore how incorporating Indigenous Knowledges in engineering education may require students to cross ontological and epistemological thresholds."
"Unveiling the Hidden Synergy Between Extra-Curriculars and Engineering Education within the Framework of CEAB Graduate Attributes: A Personal Reflection","Prarthona Paul; Chirag Variawa","Navigating undergraduate engineering education can be a challenging process, with students facing a multitude of expectations and pathways towards graduation. While core elements like courses are central, the significance of ""extra-curricular"" opportunities in enriching the learning experience is often undervalued. This paper challenges the notion of these activities as ""extra"" by examining their role in developing skills aligned with the 12 Canadian Graduate Attributes. Through an analysis of literature and a case study of a first-in-the-family female engineering student, this paper explores the skills that engineering students can acquire through extra-curricular involvement through a personal reflection. Furthermore, it investigates the relationship between these skills and the Canadian Engineering Graduate Attributes, aiming to redefine the connection between curricular and extra-curricular activities. Preliminary findings suggest a link between extra-curricular engagement and students' personal and academic development, yet there is a gap in understanding how these activities align with the Canadian Engineering Graduate Attributes. This study aims to bridge this gap, continuing the conversation on the importance of extra-curricular activities in engineering education. By redefining the role of extra-curricular activities, this research seeks to promote their integration into the curriculum, encouraging broader student participation and fostering learning beyond the classroom."
"GAMIFICATION IN ENGINEERING EDUCATION IN CANADA: A SYSTEMATIC REVIEW OF THE LITERATURE","Renato Alan   Bezerra Rodrigues","In order to tackle issues related to student engagement and motivation, some instructors have used games design elements as pedagogical methods in their classroom. Research on the use of gamified pedagogies in engineering education has grown in the last 15 years. However, past literature reviews found almost no papers documenting the use of gamification in Canada. Therefore, this paper will report the results of a systematic literature review specifically focused on the use of game-based learning and gamification strategies in engineering education in Canada. Results showed that 15 papers documented the pedagogical use of games or gamification in the Canadian undergraduate engineering education context. Most papers reported positive outcomes regarding student attitude, motivation and engagement; however, more research is needed on the efficacy of gamified pedagogies in delivering learning outcomes."
"Some Epistemological Groundwork for a Qualitative Analysis of a Communication Community of Practice","Debora Rolfes; Corey Owen","This paper describes a study that attempts to assess learning transfer in an engineering communication programme through a qualitative study using narrative and rhetorical theory, both of which are humanistic theories that have only recently been considered in such assessment. The communicationprogramme attempts to foster a communication community of practice among its students, and thereby ensure that the skills they cultivate in the classroom can be applied in the various contexts provided by the engineering profession. The researchers use narrative and rhetorical theory to analyze transcripts of in-depth interviews, in order to detect evidence of what EtienneWenger would regard as an identity of participation."
"ACADEMIC IMPACT AND PERSONAL EXPERIENCE OF DESIGN TEACHING ASSISTANTS IN UNDERGRADUATE COURSES","Flavio Firmani; Michael McWilliam; Peter Wild","This paper presents the impact that theDesign Engineering and Design (DE&amp;I) program offeredin 2013 has had in the Faculty of Engineering at theUniversity of Victoria. Through this program a pool ofnineteen graduate students were trained as DesignTeaching Assistants (DTAs). The purpose of this programis to train DTAs in engineering design principles andpedagogical skills for mentoring students working ondesign projects. During the year DTAs continued theirtraining by attending seminars presented by guestspeakers. To date, eight DTAs have been appointed toeither assist as qualified Teaching Assistant in alreadyestablished engineering design courses (two DTAs), or todevelop new design projects in courses that are primarilyengineering science (six DTAs). The latter was supportedby the course instructor and the coordinators of thisprogram. The paper describes the development andmanagement of these design projects, their impact onundergraduate students, and the personal experiencegained by the DTAs. Also, the paper presents a review ofthe 2013 DE&amp;I program including a new strategy for theupcoming 2014 DE&amp;I workshops that will focus more onthe development and execution of design projects of theDTAs."
"What about sustainability? Adding the “S” to leadership and management competency development in the engineering curriculum","Nadine Ibrahim; Marnie V. Jamieson; John R. Donald","To provide a framework for engineering educators to map leadership and management skills development in the curriculum, the authors previously created a Leadership-Management Development Model (LMDM). In this paper we look to extend the model to include sustainability by using an “environmental limits approach”, creating a &nbsp;Leadership-Management -Sustainability Development Model (LMSDM). Adding the sustainability dimension provides a contextual purpose for leadership and management development as it relates to creating and stewarding sustainable socio-technical engineering solutions. This can set a common language and a harmonized framework in the context of skills development and application in engineering practice to complex socio-technical problems. Ultimately the model will allow programs and instructors to map and situate the development of leadership, management and sustainability concepts in their programs in an integrated manner., and to examine learning outcomes relevant to the Canadian Engineering Accreditation Board (CEAB) graduate attributes (GA). Curricular examples are provided to give insight into application of the LMSDM in engineering courses and programs. Future work will include mapping the developed LMSDM to engineering curriculum at multiple institutions."
"EXPANDING ENGINEERING DESIGN WITH MINI PROJECTS – THEORY OF MECHANISMS A PILOT COURSE","Flavio Firmani; Sohad Kadhum; Peter Wild","In order to expand the instruction ofengineering design in courses that are predominantlyengineering science, the Chair in Design Engineering ofthe University of Victoria has launched a program tointroduce design mini-projects. The development andmanagement of these projects is conducted by the courseinstructor in collaboration with a Design TeachingAssistant. The first design mini-project has beendeveloped for Theory of Mechanisms, a third-year corecoursein Mechanical Engineering. The course isprimarily theoretical and includes four laboratoryprojects that are based on deterministic problems. Inorder to establish an appropriate project, a list oflearning objectives that complements the theoreticalcontent of the course and exposes students to anengineering design problem has been identified. Theproject consists in designing and building an automatonfor young children – a mechanical toy operated by a handcrank. Overall the project was successful, studentsrapidly embraced it, the submitted prototypes generallymet or exceeded our expectations, and the learningobjectives were achieved."
"The Innovation Problem Finder Dartboard: Embedding Critical Design in the Engineering Workflow","Alexi Orchard","This paper introduces the “Innovation Problem Finder Dartboard"" (IPFD), a generative critical design-inspired pedagogical tool for ideating on the potential uses, misuses, and alternative contexts of a given technology. In a first year Engineering Communication course, students used the IPFD, accompanied by a brief worksheet they completed in groups, during the problem definition stage of their term project. The aim of employing the IPFD activity in this context is twofold: students will 1) generate ideas about how equity, diversity, and inclusion (EDI) and social and environmental justice factor into an engineering design problem and 2) think critically about existing and potential engineering contexts, cultures, and practices."
"LEARNING FROM ECOFEMINISM: DECONSTRUCTING THE DUALISTIC ‘SOFT’ VS. ‘HARD’ NATURE OF ENGINEERING EDUCATION ","Robyn  Paul; Laleh  Behjat; Marjan  Eggermont; Robert  Brennan","There has been little progress in increasing the diversity of engineering over the past three and a half decades. Much of the diversity work in engineering has an implicit liberal feminism and fails to deconstruct the hierarchical social categories and the underlying ideals of engineering culture. There is a growing need to critically look at the embedded culture of engineering and how this presents a barrier to diversity. This paper provides a critical review of key ecofeminist literature and how engineering education can learn from ecofeminist approaches. The ecofeminist framework aims to breakdown dualisms that artificially separate humans and nature, and rather emphasizes the essential interdependence of all organisms. The aim of this work is to better understand how ecofeminism could be used as a framework to change the culture of engineering education to create a more inclusive environment and foster a greater holistic skillset in our students."
"LEADERSHIP TRANSCENDING BORDERS: BUILDING BRIDGES TO INTEGRATE TECHNICAL AND PROFESSIONAL KNOWLEDGE ","William  Schell; Bryce Hughes; John Donald; Tom Goldfinch; Anthony  Kadi; Emily Moore; Doug Reeve; Cindy  Rottmann; Patricia  Sheridan","Engineering knowledge is characterized by an artificial “border” that distinguishes technical expertise from the professional skills needed to solve society’s most pressing problems. Scholars of engineering leadership argue that students who are provided opportunities to blur that distinction and integrate their technical and professional training are better prepared for interdisciplinary and transnational engineering work. This “Lightning Talk” session brings together engineering leadership researchers from universities in Australia, Canada, and the United States to explore an array of approaches to understanding and developing engineering leadership. Best practices are presented followed by a panel discussion of the implications for internationalizing work on engineering leadership."
"Developing a Catalogue of Environmental Sustainability Tools to Inform Biomedical Engineering Design Education","Melissa Yu; Jenna Usprech; Negar Harandi; Robyn Newell; Calvin Kuo","Despite the negative impact that the environmental crisis can have on human health, the healthcare sector is a significant contributor of greenhouse gas emissions and air pollution. However, biomedical engineering design has primarily focused on human safety, with limited attention to environmental sustainability. To address this, we conducted a review of tools to support environmental sustainability analysis and proposed how we think they can support biomedical engineering design education. We conducted a literature search to identify available tools and categorized them according to the biomedical engineering design process taught at the University of British Columbia. We found that there was a lack of tools to support sustainability at early design stages, limiting student’s ability to take a proactive approach to sustainable design. Moving forward, we plan to use this review as a reference tool to guide curriculum improvements for biomedical engineering design courses to include a greater focus on environmental sustainability."
"TRAINING VERSATILE ENGINEERS: A HISTORICAL AND PRESENT PERSPECTIVE ON THE PLACE OF THE HUMANITES AND SOCIAL SCIENCES IN THE CANADIAN ENGINEERING CONTEXT","John Donald; Sofie Lachapelle; Jacqueline McIsaac; Tara Abraham; Ryan Clemmer; Karen Gordon; Stuart McCook; Richard G. Zytner","The importance of training well-rounded engineers has been discussed by engineering educators since the end of the Second World War. For decades now, the humanities and social sciences have been used to encourage engineering students to develop social competency, ethical awareness, and the ability to express themselves with ease, both orally and in writing. In Canada, the humanities and social sciences are featured prominently in the curriculum as part of complementary studies, which comprises both required and elective courses. How do students understand their experience with the humanities and social sciences during their degree? Do they see the usefulness of the skills and content learned in these fields for the job market? This study constitutes a first step in a larger project exploring these questions. Here we first present an overview of the historical and present debates on the place that humanities and social sciences have in the engineering curriculum. We then report on the feedback obtained from focus groups of graduating students asked about their experience and attitudes relative to “soft skills” graduate attributes and complementary studies. We conclude that the new Canadian Engineering Accreditation Board graduate attribute framework provides an opportunity to assess the role of the humanities and social sciences in the engineering curriculum and suggest possible ways to measurably enhance student experience and learning of non-technical or “soft” skills."
"ENHANCING ENGINEERING EDUCATION WITH INDIGENOUS CULTURES, PEDAGOGIES, KNOWLEDGES, AND PERSPECTIVES: A SERIES OF FACULTY WORKSHOPS  ","Jillian  Seniuk Cicek; Afua  Mante; Marcia  Friesen; Randy  Herrmann","In the Faculty of Engineering at the University of Manitoba, we are committed to creating belonging for Indigenous and non-Indigenous students and faculty by fostering shared values and developing a shared approach to engineering education. In the spirit of this commitment, a team of four from the Faculty of Engineering has been funded to design a series of seven engineering specific faculty workshops to help build good relationships between Indigenous and non-Indigenous engineering students, faculty, and staff. Our goal is to enrich engineering education by learning how engineering is relevant to Indigenous Peoples from Indigenous perspectives, with the ultimate objective to integrate Indigenous values, knowledges, perspectives, and design principles into engineering teaching and learning in relevant, genuine, and good ways. This Engineering Education Practice Paper presents the design of the seven workshops, and briefly introduces the conceptual framework that guides the team’s approach.
&nbsp;"
"The Nature of a Problem, Problem Diagnosis, and Engineering Design ","Scott A.C.   Flemming; Clifton R.  Johnston ","This work has been motivated by the authors’ past explorations into engineering culture and engineering design which have both exposed the importance of and lack of problem definition in the engineering design process.&nbsp; This paper builds on those previous works and reviews literature from the fields of cognitive psychology and artificial intelligence as well as medical science.&nbsp; Studies in cognitive science have identified that experts perform much better in the complex task of problem identification than novices and that scheme-based instruction can greatly ameliorate novice diagnostic performance in an ill-defined complex domain such as medical science. The authors argue that these results will transfer to the analogous ill-defined and complex domain that is engineering design.&nbsp; In this case, the conclusion of this work is for engineering educators to develop schemes (templates) to describe in broad strokes the “universe of problems” in their particular field to aid their students in diagnosing problems for the purposes of engineering design."
"DEVELOPING ETHICAL ENGINEERS WITH EMPATHY","Jennifer  Howcroft; Kate  Mercer; Jennifer  Boger","Empathy-based skill development can help engineering students work towards professional expectations regarding ethical duties. However, there is a lack of explicit, holistic pedagogical approaches toempathy education in engineering. In BME161, a first-year biomedical engineering design course, students received explicit and implicit instruction focused on empathy and ethics. Students were also expected to use empathy-based tools and incorporate stakeholder perspectives in their design process in meaningful and explainable ways. While this approach was successful in incorporating empathybased education into a design course, a more holistic approach is needed throughout the program. Therefore, a high-level framework is presented based on four pillars of empathy development: communication, collaboration, decision-making, and values with a goal of achieving an interpersonal, user-centered, empathic culture of design in engineering students. Future work will focus on developing a more detailed and actionable framework."
"Decolonizing and Indigenizing Engineering: The Design & Implementation of a New Course","Jillian Seniuk Cicek; Randy Herrmann; Reed Forrest; Kyle Monkman","This practice paper introduces a new course designed by one Indigenous and one non-Indigenous engineering educator at the University of Manitoba to decolonize and Indigenize engineering. Working with an Indigenous teaching assistant, and supported by a doctoral student auditing the course, we facilitated a small group of Indigenous and non-Indigenous engineering students to think critically about making place and space for Indigenous Peoples and worldviews in engineering. Here, we share the course design, our reflections on the course, and our plans going forward. Our initiative is one answer the Calls to Action by the Truth and Reconciliation Commission (TRC) of Canada to learn the truth about Canada as colonizer and use education as a tool for reconciliation. In doing so, we aim to provide engineering students with knowledges and perspectives for working successfully with First Nations, Métis and Inuit Peoples and communities in engineering practice in Manitoba, and in Canada."
"Simple And Effective Teaching Strategies for Increasing Graduate Attributes Competency Levels","Sabrina Turrin; Katrina Poulin; Amanda Saxe; Roni Khazaka; Marwan Kanaan","Instructors often assume that implementing new teaching strategies will require a significant amount of time and preparation, however, that is not always the case. In fact, numerous near-effortless teaching strategies were proven to be effective in several disciplines in higher education. This paper surveys leading educational journals and identifies such strategies which also have the potential of being successful in an engineering classroom. Furthermore, the effectiveness of these strategies for developing graduate attributes is explored."
"“THERMODYNAMICS IS NOT A SPECTATOR SPORT!” [7] AN EXPLORATORY STUDY ON INCORPORATING ACTIVE LEARNING INTO A FIRST YEAR THERMODYNAMICS COURSE","Jillian Seniuk Cicek; Douglas Ruth; Sandra Ingram","Student engagement is deemed as one of the fundamental components of consequential learning. Essentially, contextualizing information in authentic events and situations and designing active learning experiences to orchestrate opportunities for students to construct their own knowledge are ways to engage students in their own learning process. This paper reports on a Professor’s efforts to turn a traditional, lecture- based first year Thermodynamics course into an active learning arena. The study uses a qualitative approach to data collection and analysis, with data amassed through participant observations and open-ended interviews with the Professor. A number of categories and themes have already emerged. This paper outlines the category, Instructional Strategies, and discusses how they were modified and/or amplified to incorporate active learning in an attempt to further engage students."
"First-Year Project-Based Engineering Design Courses in Canadian Institutions","Shelir Ebrahimi; Cameron Farrow; John R. Donald; Marnie Jamison","First-year engineering design courses are fundamental component to most engineering programs, and they provide the backbone for the introduction of engineering students to engineering practice and profession. First-year engineering design courses are also essential to begin the development of an engineering mindset. The purpose of this study is to complete a comparative examination of first-year engineering design courses across Canada. The work was inspired by an interactive workshop delivered at CEEA-ACEG 2022. The workshop was based on a comparative examination of the curriculum and delivery of three first-year design courses at different engineering institutions, including number of students and credits, project types, content integration, resources, and logistics. Informed by the discussion in the workshop, this study expands on the work by surveying instructors of first-year engineering design courses. The preliminary results are presented from a subset of the data collected and demonstrate similarities and differences among the different programs. These results provide a foundation for meaningful analysis and discussion of educational practice in first-year engineering design courses."
"Engineering Inclusivity by Design: Co-Designing an Inclusive Innovation Workshop","Fatima Nazir; Shayna Earle; Andrea Hemmerich","In North American universities, engineering faculties often exhibit unequal representation, with inclusivity in the curriculum hindered by aspects like elitism and technical social dualism. This project aimed to foster a more inclusive engineering culture by co-designing a workshop with students at McMaster University to appreciate diverse identities and incorporate equity principles into their work. The ""Inclusive Innovation Design Challenge"" workshop, attended by 55 students, introduced concepts of self-identity and positionality, followed by a human-centred design sprint based on equity-based co-design principles. Participants developed personas and brainstormed solutions to design challenges, enhancing awareness of the value of diverse perspectives. The outcome was overwhelmingly positive; feedback from a post-workshop survey indicated a shift in participants' perceptions towards their identities and the inclusion of diverse perspectives in design. Ongoing research will evaluate the workshop's impact on integrating these insights into coursework and enhancing the sense of belonging in engineering programs."
"Development of a scalable, immersive, multiplayer game for teaching engineering courses","Tahzinul Islam; Moshi Wei; Alidad Amirfazli","A scalable and immersive game was developed to serve as a monthly concept review game for theory-heavy engineering courses (such as fluid dynamics or heat transfer). It was designed such that in-game items and content may be dynamically replaced easily with an Excel data table, without the need for further programming. It is expected that course instructors may use such a tool by simply updating an Excel data table to rapidly tailor the game for any course. Even room/zone designs may be parametrized using a data table. Given the automation level of such a tool, its scalability and adaptability, the results of this work demonstrate the an innovative tool for educators to use for rapid construction of fun learning environments for engineering students in fun, game worlds. Future multiplayer game development can aid with collaborative learning to an even higher degree."
"Experiential Learning vs Systematic Prescriptions in Engineering Design: A Crossroads for Education","G. R. Gressfc; S. Li; R. W. Brennan","The systematic, non-experiential prescriptions of classical design methodology continue to have a strong presence in large segments of design research and education while another segment sees domain experience and consequent intuition and creativity as being key to successful design. In this paper the two approaches are outlined and the empirical research literature in human behaviour is employed to discern discrepancies and potential weaknesses. Results show that gaining experience in a domain intrinsically changes how one designs, which the classical methodology does not account for. For example, only designers with tactile and visual domain experience can abstract functions per the dictates of the classical (non-experiential) methodology, which means that they cannot have used the methodology to learn basic design in the first place – or did so only with great difficulty. This and other conflicts pose problems for the education of engineering design students, and to fathom their extent this paper surveys engineering design textbooks offered in Canada and the U. S.; all of the books are found to embrace the classical methodology. If they are to remain involved in preparing students for entry into industry then some aspects of their contained classical methodology must be supplanted by experiential approaches to design educatio"
